trial	oldnew	fixation	x	y	duration	aoi	imnumber	image
32	2	18	422	579.6	258	32	3	testcity05.jpg
32	2	19	527.5	628.4	261	40	3	testcity05.jpg
32	2	20	639.9	631.8	22	40	3	testcity05.jpg
32	2	21	537.5	578.1	437	40	3	testcity05.jpg
32	2	22	710.7	721.2	1440	46	3	testcity05.jpg
32	2	23	509.2	630.7	126	32	3	testcity05.jpg
32	2	24	365.4	629.5	190	24	3	testcity05.jpg
33	2	1	523.7	378.4	327	36	2	testcity03.jpg
33	2	2	499.4	470.4	3178	29	2	testcity03.jpg
33	2	3	485.9	459	2137	29	2	testcity03.jpg
33	2	4	498.9	432.3	354	29	2	testcity03.jpg
33	2	5	521.8	477.1	567	37	2	testcity03.jpg
33	2	6	507.2	519.4	212	31	2	testcity03.jpg
33	2	7	337.3	471.1	1508	21	2	testcity03.jpg
33	2	8	489.4	433.5	1238	29	2	testcity03.jpg
40	2	1	497.8	380.6	306	28	1	testcity01.jpg
40	2	2	463.4	434.4	311	29	1	testcity01.jpg
40	2	3	399.9	441.3	178	29	1	testcity01.jpg
40	2	4	411.1	480.6	220	31	1	testcity01.jpg
40	2	5	485.6	357.6	269	28	1	testcity01.jpg
40	2	6	479.4	283.9	421	27	1	testcity01.jpg
40	2	7	275.2	607.9	852	24	1	testcity01.jpg
40	2	8	475.3	494.6	345	31	1	testcity01.jpg
40	2	9	410.5	481.2	759	31	1	testcity01.jpg
40	2	10	449.7	404.7	909	29	1	testcity01.jpg
40	2	11	421.6	441.9	1848	29	1	testcity01.jpg
40	2	12	463.5	359.1	474	28	1	testcity01.jpg
40	2	13	396.9	276.6	417	27	1	testcity01.jpg
40	2	14	203.7	619.6	649	16	1	testcity01.jpg
40	2	15	282.8	676.4	373	22	1	testcity01.jpg
40	2	16	385.8	488.4	337	31	1	testcity01.jpg
40	2	17	444.7	483.5	83	31	1	testcity01.jpg
40	2	18	461.7	477	409	29	1	testcity01.jpg
44	2	1	496.9	376	218	28	6	testcity06.jpg
44	2	2	522.8	398.2	169	37	6	testcity06.jpg
44	2	3	314.7	393.3	326	21	6	testcity06.jpg
44	2	4	423.3	408.3	166	29	6	testcity06.jpg
44	2	5	546.8	308.7	269	36	6	testcity06.jpg
44	2	6	576.2	283.4	380	35	6	testcity06.jpg
44	2	7	898.2	345	322	60	6	testcity06.jpg
44	2	8	925.8	362.1	253	60	6	testcity06.jpg
44	2	9	459.2	402.8	161	29	6	testcity06.jpg
44	2	10	287.1	436.9	427	21	6	testcity06.jpg
44	2	11	410.4	357.4	287	28	6	testcity06.jpg
44	2	12	491	310.2	266	28	6	testcity06.jpg
44	2	13	511.6	274.8	305	27	6	testcity06.jpg
44	2	14	538.9	333.8	521	36	6	testcity06.jpg
44	2	15	502.9	368.5	344	28	6	testcity06.jpg
44	2	16	301.9	338.8	487	20	6	testcity06.jpg
44	2	17	423.8	352.5	387	28	6	testcity06.jpg
44	2	18	463.8	393.2	280	29	6	testcity06.jpg
44	2	19	494.5	444	243	29	6	testcity06.jpg
44	2	20	497.2	602.7	293	32	6	testcity06.jpg
44	2	21	849.4	578.4	182	56	6	testcity06.jpg
44	2	22	905	365.3	390	60	6	testcity06.jpg
44	2	23	925.1	328.2	275	60	6	testcity06.jpg
44	2	24	614.7	277.6	690	35	6	testcity06.jpg
44	2	25	451.2	270.3	608	27	6	testcity06.jpg
44	2	26	214.1	252.1	509	11	6	testcity06.jpg
44	2	27	358.3	343.4	57	20	6	testcity06.jpg
